Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Hdop,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675714313.5478916,483,72715,72715,GPS1_Frame,42.339039166666666,-71.08856233333333,0.85,26.4,327947.83755118225,4689533.008639988,19,T
1675714314.5475261,484,72716,72716,GPS1_Frame,42.339042500000005,-71.08857016666666,0.85,26.5,327947.2013192198,4689533.394631912,19,T
1675714315.5477588,485,72717,72717,GPS1_Frame,42.33904416666666,-71.08857483333333,0.85,26.4,327946.82141698,4689533.5891455095,19,T
1675714316.549595,486,72718,72718,GPS1_Frame,42.339045000000006,-71.08858133333334,0.94,26.1,327946.2882087353,4689533.694833524,19,T
1675714317.5458372,487,72719,72719,GPS1_Frame,42.3390475,-71.08858716666667,0.85,25.7,327945.81446743774,4689533.984243257,19,T
1675714318.5511417,488,72720,72720,GPS1_Frame,42.3390475,-71.08859933333333,0.85,26.1,327944.81215665326,4689534.00886254,19,T
1675714319.5509198,489,72721,72721,GPS1_Frame,42.33904866666667,-71.08860916666666,0.85,25.8,327944.00525194104,4689534.158309899,19,T
1675714320.549053,490,72722,72722,GPS1_Frame,42.33905166666667,-71.08861833333334,0.85,25.7,327943.2582688361,4689534.509986079,19,T
1675714321.5472312,491,72723,72723,GPS1_Frame,42.3390565,-71.08862483333334,0.85,25.4,327942.7359707979,4689535.059843997,19,T
1675714322.5468338,492,72724,72724,GPS1_Frame,42.339059666666664,-71.088632,0.85,25.2,327942.15420582617,4689535.425980304,19,T
1675714323.545617,493,72725,72725,GPS1_Frame,42.33906316666666,-71.088642,0.92,25.3,327941.3399353128,4689535.834864186,19,T
1675714324.5455294,494,72726,72726,GPS1_Frame,42.33906366666667,-71.08865183333334,0.92,25.2,327940.5312124909,4689535.910283681,19,T
1675714325.546567,495,72727,72727,GPS1_Frame,42.3390655,-71.08866450000001,0.85,26.0,327939.4927116706,4689536.139493263,19,T
1675714326.5479207,496,72728,72728,GPS1_Frame,42.33906866666666,-71.08867433333333,0.85,26.0,327938.6912624651,4689536.511026062,19,T
1675714327.5473397,497,72729,72729,GPS1_Frame,42.339074,-71.08868283333332,0.85,26.6,327938.00556537975,4689537.12045272,19,T
1675714328.5486858,498,72730,72730,GPS1_Frame,42.339077333333336,-71.08869033333333,0.85,26.7,327937.3967948564,4689537.505771034,19,T
1675714329.5468168,499,72731,72731,GPS1_Frame,42.33908183333333,-71.08869583333333,0.85,26.4,327936.95596995135,4689538.016591671,19,T
1675714330.54701,500,72732,72732,GPS1_Frame,42.339082833333336,-71.088704,0.85,25.7,327936.2859139903,4689538.144160201,19,T
1675714331.5485542,501,72733,72733,GPS1_Frame,42.339085499999996,-71.08870866666666,0.85,25.4,327935.9087399255,4689538.449716818,19,T
1675714332.5536914,502,72734,72734,GPS1_Frame,42.33908816666667,-71.08871266666667,1.09,24.8,327935.5864869941,4689538.753924376,19,T
1675714333.546615,503,72735,72735,GPS1_Frame,42.339091333333336,-71.08871300000001,1.02,24.2,327935.5676639696,4689539.106233213,19,T
1675714334.544792,504,72736,72736,GPS1_Frame,42.3390925,-71.08871833333333,0.92,23.8,327935.13147741754,4689539.24657534,19,T
1675714335.5456872,505,72737,72737,GPS1_Frame,42.33909683333333,-71.0887205,0.92,23.6,327934.964803664,4689539.732143633,19,T
1675714336.5496337,506,72738,72738,GPS1_Frame,42.339101,-71.08872433333333,0.92,23.2,327934.6603725918,4689540.202577582,19,T
1675714337.548183,507,72739,72739,GPS1_Frame,42.33910899999999,-71.08872933333333,0.85,23.4,327934.27028569975,4689541.101035019,19,T
1675714338.5482147,508,72740,72740,GPS1_Frame,42.3391135,-71.088736,0.98,22.7,327933.73334936495,4689541.614216788,19,T
1675714339.5455346,509,72741,72741,GPS1_Frame,42.33911966666666,-71.08873916666667,1.09,22.5,327933.4892948981,4689542.305386517,19,T
1675714340.5468812,510,72742,72742,GPS1_Frame,42.339123333333326,-71.08874083333333,1.09,22.1,327933.36199369445,4689542.715914762,19,T
1675714341.546954,511,72743,72743,GPS1_Frame,42.33913116666666,-71.08874166666666,1.09,22.5,327933.3147091822,4689543.587433345,19,T
1675714342.5457478,512,72744,72744,GPS1_Frame,42.33913733333334,-71.08874783333334,1.02,22.4,327932.82351006183,4689544.284674052,19,T
1675714343.5493634,513,72745,72745,GPS1_Frame,42.339143666666665,-71.08875200000001,0.92,22.3,327932.49752882635,4689544.996374547,19,T
1675714344.5482483,514,72746,72746,GPS1_Frame,42.33914849999999,-71.08875816666666,0.85,22.0,327932.0026929608,4689545.545558767,19,T
1675714345.54874,515,72747,72747,GPS1_Frame,42.33915333333333,-71.0887635,0.94,21.7,327931.57650847966,4689546.093056639,19,T
1675714346.5440395,516,72748,72748,GPS1_Frame,42.33915833333334,-71.08877000000001,0.93,21.7,327931.0546668614,4689546.661422559,19,T
1675714347.5468347,517,72749,72749,GPS1_Frame,42.33916383333334,-71.088775,0.85,21.9,327930.6577615325,4689547.282274205,19,T
1675714348.5504336,518,72750,72750,GPS1_Frame,42.33916983333334,-71.08877966666667,0.93,21.7,327930.289680657,4689547.957972519,19,T
1675714349.551198,519,72751,72751,GPS1_Frame,42.339177,-71.0887845,0.85,22.2,327929.9110519596,4689548.763557618,19,T
1675714350.5481539,520,72752,72752,GPS1_Frame,42.339183500000004,-71.08879316666666,0.85,22.4,327929.21480899,4689549.502871966,19,T
1675714351.549626,521,72753,72753,GPS1_Frame,42.33918883333334,-71.08879933333333,0.85,22.4,327928.72133759176,4689550.107577646,19,T
1675714352.5463097,522,72754,72754,GPS1_Frame,42.339190499999994,-71.08880383333333,0.85,22.3,327928.35516700504,4689550.301755006,19,T
1675714353.5483606,523,72755,72755,GPS1_Frame,42.33919716666666,-71.08881,0.85,22.5,327927.8653327701,4689551.054517302,19,T
1675714354.5540237,524,72756,72756,GPS1_Frame,42.33920133333333,-71.0888165,0.85,22.2,327927.3412186868,4689551.530348177,19,T
1675714355.549726,525,72757,72757,GPS1_Frame,42.33920716666667,-71.08881783333332,0.85,22.0,327927.24728875,4689552.180793876,19,T
1675714356.5467942,526,72758,72758,GPS1_Frame,42.339210666666666,-71.088817,0.85,22.2,327927.3254872394,4689552.567755883,19,T
1675714357.5453901,527,72759,72759,GPS1_Frame,42.339216500000006,-71.08881833333334,0.85,22.1,327927.2315573215,4689553.218201581,19,T
1675714358.5497644,528,72760,72760,GPS1_Frame,42.339220833333336,-71.08881733333332,0.85,21.8,327927.3257592093,4689553.697361644,19,T
1675714359.552338,529,72761,72761,GPS1_Frame,42.3392275,-71.08881933333333,0.85,22.1,327927.1791814881,4689554.441691835,19,T
1675714360.5476298,530,72762,72762,GPS1_Frame,42.339235499999994,-71.08882333333332,0.94,21.5,327926.87147793145,4689555.3381260345,19,T
1675714361.5476184,531,72763,72763,GPS1_Frame,42.33924283333334,-71.08883,0.85,21.4,327926.3422720502,4689556.165928595,19,T
1675714362.548385,532,72764,72764,GPS1_Frame,42.339249833333334,-71.08883466666666,0.85,21.3,327925.97691992193,4689556.952669584,19,T
1675714363.5500689,533,72765,72765,GPS1_Frame,42.33925783333334,-71.08884016666666,0.85,21.8,327925.54564449587,4689557.85213946,19,T
1675714364.5457375,534,72766,72766,GPS1_Frame,42.33926683333334,-71.0888475,0.85,21.9,327924.96606440615,4689558.866361991,19,T
1675714365.5490277,535,72767,72767,GPS1_Frame,42.33927333333333,-71.08885433333333,0.85,21.9,327924.4208556097,4689559.601966661,19,T
1675714366.5495734,536,72768,72768,GPS1_Frame,42.339280666666674,-71.08885783333334,0.94,21.6,327924.1525248183,4689560.42336085,19,T
1675714367.5480652,537,72769,72769,GPS1_Frame,42.33928883333333,-71.08886366666667,0.94,21.8,327923.69424404786,4689561.342012513,19,T
1675714368.5471582,538,72770,72770,GPS1_Frame,42.3392965,-71.08886766666666,0.85,22.2,327923.385632018,4689562.20143276,19,T
1675714369.5475729,539,72771,72771,GPS1_Frame,42.33930116666667,-71.088875,0.94,22.2,327922.79423189483,4689562.734471702,19,T
1675714370.5523956,540,72772,72772,GPS1_Frame,42.339309333333325,-71.088882,0.94,22.3,327922.23983987677,4689563.655484548,19,T
1675714371.5448258,541,72773,72773,GPS1_Frame,42.339316666666676,-71.0888875,1.1,22.2,327921.80674681225,4689564.480926417,19,T
1675714372.5487406,542,72774,72774,GPS1_Frame,42.33932466666667,-71.08889116666666,0.85,22.2,327921.5265049216,4689565.376686299,19,T
1675714373.5489638,543,72775,72775,GPS1_Frame,42.339333999999994,-71.08889683333334,0.85,22.1,327921.0851376237,4689566.424550343,19,T
1675714374.5480876,544,72776,72776,GPS1_Frame,42.339344,-71.08890133333333,0.85,22.0,327920.74170061655,4689567.544081596,19,T
1675714375.5456066,545,72777,72777,GPS1_Frame,42.33935216666667,-71.08890983333335,0.85,21.9,327920.0637373202,4689568.468130348,19,T
1675714376.5482156,546,72778,72778,GPS1_Frame,42.339360000000006,-71.088916,0.85,22.9,327919.5770879394,4689569.3504427895,19,T
1675714377.5474513,547,72779,72779,GPS1_Frame,42.339367833333334,-71.0889195,0.86,22.8,327919.3101221308,4689570.227358411,19,T
1675714378.5476391,548,72780,72780,GPS1_Frame,42.339372999999995,-71.08892316666667,0.86,22.8,327919.02215170267,4689570.808498241,19,T
1675714379.5477781,549,72781,72781,GPS1_Frame,42.3393785,-71.0889265,0.86,22.7,327918.76255106454,4689571.425977614,19,T
1675714380.5468388,550,72782,72782,GPS1_Frame,42.33938533333333,-71.08892816666666,0.86,22.6,327918.64388983976,4689572.188140499,19,T
1675714381.5480044,551,72783,72783,GPS1_Frame,42.33938966666666,-71.08893083333334,1.08,21.8,327918.43602753617,4689572.674721183,19,T
1675714382.5490732,552,72784,72784,GPS1_Frame,42.33939683333333,-71.088933,0.86,21.4,327918.27708506724,4689573.474910136,19,T
1675714383.5489542,553,72785,72785,GPS1_Frame,42.33940316666667,-71.08893516666667,0.86,21.0,327918.1158693519,4689574.182563749,19,T
1675714384.5482085,554,72786,72786,GPS1_Frame,42.33941033333334,-71.088942,1.08,20.8,327917.57248119987,4689574.992197304,19,T
1675714385.54574,555,72787,72787,GPS1_Frame,42.33941633333334,-71.08894716666667,0.86,20.8,327917.1632125989,4689575.668908337,19,T
1675714386.5441117,556,72788,72788,GPS1_Frame,42.339422666666664,-71.088953,1.08,20.5,327916.69993259036,4689576.383982772,19,T
1675714387.547931,557,72789,72789,GPS1_Frame,42.33943033333333,-71.08895933333334,0.86,20.4,327916.19909938297,4689577.248125727,19,T
1675714388.5471113,558,72790,72790,GPS1_Frame,42.33943583333333,-71.0889645,1.08,20.0,327915.788467063,4689577.869315644,19,T
1675714389.5483131,559,72791,72791,GPS1_Frame,42.339444,-71.08897383333333,0.86,19.8,327915.04185450845,4689578.795051499,19,T
1675714390.5477116,560,72792,72792,GPS1_Frame,42.33945066666667,-71.08898216666667,0.94,19.9,327914.3735313163,4689579.552199936,19,T
1675714391.5469308,561,72793,72793,GPS1_Frame,42.339456500000004,-71.08899116666666,1.24,19.5,327913.64801413845,4689580.218162351,19,T
1675714392.55271,562,72794,72794,GPS1_Frame,42.339462999999995,-71.08899716666666,1.24,18.9,327913.1714592903,4689580.952081428,19,T
1675714393.5457277,563,72795,72795,GPS1_Frame,42.33947166666667,-71.08900533333333,1.24,18.9,327912.52232279495,4689581.930977574,19,T
1675714394.5476723,564,72796,72796,GPS1_Frame,42.33947750000001,-71.08901583333333,1.08,18.8,327911.6732343223,4689582.599976069,19,T
1675714395.5444198,565,72797,72797,GPS1_Frame,42.339483666666666,-71.08902066666666,1.24,18.5,327911.29188183026,4689583.294519914,19,T
1675714396.548458,566,72798,72798,GPS1_Frame,42.33948699999999,-71.08902233333333,0.94,17.4,327911.16367348155,4689583.668034509,19,T
1675714397.5503304,567,72799,72799,GPS1_Frame,42.33949316666667,-71.08902916666666,0.86,17.3,327910.61755885044,4689584.366626241,19,T
1675714398.54832,568,72800,72800,GPS1_Frame,42.33950216666667,-71.0890365,1.24,17.5,327910.03798334295,4689585.380850174,19,T
1675714399.5452566,569,72801,72801,GPS1_Frame,42.339512666666664,-71.0890395,0.94,17.6,327909.8194849354,4689586.552867377,19,T
1675714400.5473375,570,72802,72802,GPS1_Frame,42.33952066666667,-71.08904733333334,1.15,17.6,327909.1959911003,4689587.457060942,19,T
1675714401.5455663,571,72803,72803,GPS1_Frame,42.33953083333334,-71.08905583333333,0.94,17.7,327908.52348762157,4689588.603195778,19,T
1675714402.54777,572,72804,72804,GPS1_Frame,42.339537500000006,-71.089062,1.15,17.1,327908.03365843813,4689589.355959644,19,T
1675714403.5419781,573,72805,72805,GPS1_Frame,42.339546999999996,-71.08907049999999,1.15,17.3,327907.359336595,4689590.4280663235,19,T
1675714404.545851,574,72806,72806,GPS1_Frame,42.339553499999994,-71.08907649999999,0.94,17.2,327906.8827831595,4689591.161985881,19,T
1675714405.5482967,575,72807,72807,GPS1_Frame,42.33955833333333,-71.08907983333333,1.24,16.4,327906.62136569456,4689591.705437496,19,T
1675714406.5467277,576,72808,72808,GPS1_Frame,42.339567,-71.08908316666665,0.86,16.2,327906.37040618213,4689592.674551733,19,T
1675714407.5482259,577,72809,72809,GPS1_Frame,42.3395785,-71.08908316666665,0.94,16.5,327906.4017799075,4689593.951539558,19,T
1675714408.5457218,578,72810,72810,GPS1_Frame,42.339586833333335,-71.08908733333332,0.94,16.6,327906.08126030397,4689594.885326322,19,T
1675714409.5456736,579,72811,72811,GPS1_Frame,42.3396005,-71.08908783333332,1.15,17.1,327906.07735461765,4689596.403918056,19,T
1675714410.546067,580,72812,72812,GPS1_Frame,42.33961133333334,-71.08909183333334,1.15,17.4,327905.7773857651,4689597.614973564,19,T
1675714411.5443072,581,72813,72813,GPS1_Frame,42.33962083333333,-71.08909733333333,1.15,17.5,327905.3502080337,4689598.681008517,19,T
1675714412.5451105,582,72814,72814,GPS1_Frame,42.339628499999996,-71.08910333333333,1.15,17.4,327904.8768383035,4689599.544477734,19,T
1675714413.545692,583,72815,72815,GPS1_Frame,42.33963666666667,-71.08910883333333,1.15,17.4,327904.44602326397,4689600.462456193,19,T
1675714414.5437942,584,72816,72816,GPS1_Frame,42.33964316666667,-71.08911516666667,1.38,17.1,327903.94201057474,4689601.197050659,19,T
1675714415.5402763,585,72817,72817,GPS1_Frame,42.33965016666666,-71.089123,1.15,16.8,327903.31579071516,4689601.990202405,19,T
1675714416.546797,586,72818,72818,GPS1_Frame,42.33965750000001,-71.08913133333334,0.94,17.1,327902.64928994677,4689602.8213803675,19,T
1675714417.5474982,587,72819,72819,GPS1_Frame,42.339665,-71.08913783333334,0.94,17.2,327902.13427570334,4689603.667354736,19,T
1675714418.5448093,588,72820,72820,GPS1_Frame,42.33967566666667,-71.08914416666667,0.94,17.9,327901.64163115434,4689604.864626143,19,T
1675714419.5482264,589,72821,72821,GPS1_Frame,42.339684000000005,-71.08915116666667,1.2,18.2,327901.0877002961,4689605.804147972,19,T
1675714420.544592,590,72822,72822,GPS1_Frame,42.339692,-71.08915499999999,1.15,17.9,327900.79373292474,4689606.7002462065,19,T
1675714421.5476003,591,72823,72823,GPS1_Frame,42.33969766666667,-71.08915983333333,0.95,17.7,327900.41101884784,4689607.339269529,19,T
1675714422.5478323,592,72824,72824,GPS1_Frame,42.33970716666666,-71.08916233333333,1.15,18.0,327900.23098516837,4689608.399232686,19,T
1675714423.546776,593,72825,72825,GPS1_Frame,42.339721499999996,-71.0891625,1.15,18.6,327900.25636010454,4689609.991178088,19,T
1675714424.5457444,594,72826,72826,GPS1_Frame,42.339726999999996,-71.08916933333333,1.2,18.5,327899.7084299202,4689610.615742508,19,T
1675714425.5444398,595,72827,72827,GPS1_Frame,42.339730833333334,-71.089174,1.38,18.1,327899.33444447484,4689611.050850781,19,T
1675714426.5442204,596,72828,72828,GPS1_Frame,42.33973233333333,-71.08917933333333,1.2,17.5,327898.8991725396,4689611.228209472,19,T
1675714427.5496087,597,72829,72829,GPS1_Frame,42.3397385,-71.0891825,1.2,18.0,327898.6551244003,4689611.91938066,19,T
1675714428.5470767,598,72830,72830,GPS1_Frame,42.33973816666666,-71.08918733333333,1.2,18.0,327898.2560410657,4689611.892149579,19,T
1675714429.5479739,599,72831,72831,GPS1_Frame,42.3397375,-71.08918816666666,1.2,18.1,327898.18557152525,4689611.819808033,19,T
1675714430.549526,600,72832,72832,GPS1_Frame,42.339739333333334,-71.08918866666666,1.15,18.2,327898.14938299876,4689612.024397852,19,T
1675714431.5528295,601,72833,72833,GPS1_Frame,42.33974166666667,-71.08918983333334,1.15,18.4,327898.05963808676,4689612.285858273,19,T
1675714432.544633,602,72834,72834,GPS1_Frame,42.339746500000004,-71.08919216666666,1.44,19.3,327897.8806030018,4689612.8272861885,19,T
1675714433.546504,603,72835,72835,GPS1_Frame,42.33975166666667,-71.089193,1.15,19.7,327897.82604856824,4689613.402692116,19,T
1675714434.548887,604,72836,72836,GPS1_Frame,42.33975283333333,-71.08919516666667,1.38,19.7,327897.65073987795,4689613.536627136,19,T
1675714435.54904,605,72837,72837,GPS1_Frame,42.339756666666666,-71.08919883333333,0.94,20.1,327897.35913551104,4689613.969711437,19,T
1675714436.551105,606,72838,72838,GPS1_Frame,42.339762333333326,-71.08919716666666,1.15,20.4,327897.5118972345,4689614.595578346,19,T
1675714437.5447495,607,72839,72839,GPS1_Frame,42.33977,-71.08919933333333,1.23,21.1,327897.3543226102,4689615.451289133,19,T
1675714438.5515528,608,72840,72840,GPS1_Frame,42.339771500000005,-71.08920216666667,1.23,21.4,327897.12500291015,4689615.623587712,19,T
1675714439.549917,609,72841,72841,GPS1_Frame,42.339771500000005,-71.089203,1.2,21.1,327897.05635227414,4689615.62527446,19,T
1675714440.5487807,610,72842,72842,GPS1_Frame,42.33977183333333,-71.08920333333334,1.15,20.8,327897.02980145684,4689615.6629633,19,T
1675714441.547675,611,72843,72843,GPS1_Frame,42.33977316666666,-71.08920316666666,1.15,20.5,327897.04716934264,4689615.810682515,19,T
1675714442.5491698,612,72844,72844,GPS1_Frame,42.339774500000004,-71.0892025,1.15,20.2,327897.1057276055,4689615.957389682,19,T
1675714443.554094,613,72845,72845,GPS1_Frame,42.3397765,-71.08920116666667,1.15,19.9,327897.22102525196,4689616.176775732,19,T
1675714444.54554,614,72846,72846,GPS1_Frame,42.339779666666665,-71.08919883333333,1.15,19.9,327897.42188667646,4689616.523687185,19,T
1675714445.5528672,615,72847,72847,GPS1_Frame,42.339782833333324,-71.08919716666666,1.15,19.9,327897.5678275811,4689616.871948036,19,T
1675714446.5489588,616,72848,72848,GPS1_Frame,42.33978666666667,-71.0891955,1.15,20.1,327897.7155873446,4689617.294237175,19,T
1675714447.5499368,617,72849,72849,GPS1_Frame,42.33979033333333,-71.08919333333333,1.15,20.1,327897.9040827459,4689617.6970072,19,T
1675714448.548582,618,72850,72850,GPS1_Frame,42.3397935,-71.08919166666666,1.15,20.2,327898.0500236084,4689618.045268062,19,T
